frame, success, confidence, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r, AU04_c, AU12_c, AU15_c, AU23_c, AU28_c, AU45_c
1, 1, 0.967555, 0, 0, 2.14524, 0, 2.37615, 0.7171, 2.57483, 2.80892, 2.11327, 0, 0, 0.518448, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.973742, 0, 0, 2.02292, 0, 2.35709, 0.857527, 2.51482, 3.00599, 2.02684, 0.519026, 0, 0.571424, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.971201, 0, 0, 1.58261, 0, 2.3035, 1.20132, 2.49203, 2.96719, 1.83416, 0, 0, 0.737825, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.971067, 0, 0, 1.60481, 0, 2.17776, 1.40618, 2.26729, 3.1985, 1.54599, 0, 0, 0.661621, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.97458, 0, 0, 1.47369, 0.556378, 2.03722, 1.49958, 2.1743, 3.22432, 1.73518, 0, 0, 0.892435, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.960674, 0.968227, 0, 1.50719, 0, 1.873, 0.716834, 1.94955, 3.18679, 1.28871, 0, 0, 0, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.961585, 1.17847, 0, 1.63269, 0, 1.94064, 1.40029, 2.05856, 3.40532, 2.13774, 0, 0, 1.22608, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.955028, 0.903725, 0, 1.65112, 0, 1.84034, 1.50643, 1.9915, 3.13146, 2.26693, 0, 0, 0, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.966676, 0.765195, 0.697364, 1.65947, 0.502572, 1.80069, 0.924775, 1.93609, 2.97276, 1.11132, 0, 0, 1.01073, 5, 0, 1, 1, 1, 0, 0, 1
1, 1, 0.975813, 0, 0, 1.86899, 0, 1.86445, 0, 2.04554, 2.96782, 1.96565, 0.834918, 0, 0.745055, 5, 0, 1, 1, 0, 0, 0, 1
1, 1, 0.973752, 0, 0, 1.65594, 0, 1.86278, 0, 2.10964, 2.77939, 2.51232, 0.707635, 0, 0.510281, 5, 0, 0, 1, 1, 0, 0, 0
1, 1, 0.972769, 0, 0, 1.49176, 0, 1.83602, 0, 2.10059, 2.85788, 2.13155, 0.581254, 0, 0.619808, 3.84998, 0, 0, 1, 1, 0, 0, 0
1, 1, 0.982689, 0, 0, 1.4947, 0, 2.02597, 0, 2.21961, 2.80762, 2.41191, 0.636716, 0, 0, 2.9258, 0, 1, 1, 0, 0, 0, 0
1, 1, 0.990426, 0, 0, 1.02295, 0, 1.91865, 0, 2.19599, 2.64679, 2.44786, 0, 0, 0, 1.20724, 0, 1, 1, 0, 0, 0, 0
1, 1, 0.993429, 0, 0, 0.968491, 0.552326, 1.78694, 0, 2.15935, 2.48749, 2.69388, 0, 0, 0.983657, 0, 0, 0, 1, 1, 0, 0, 0
1, 1, 0.993296, 0, 0, 1.15167, 0.642969, 1.80095, 0, 2.18863, 2.22509, 3.08172, 0.557154, 0, 1.45671, 0, 0, 0, 1, 0, 0, 0, 0
1, 1, 0.994032, 0, 0, 0.555121, 0.604144, 1.7884, 0, 2.20748, 2.11484, 2.95829, 0.878234, 0, 0.997761, 0, 0, 0, 1, 1, 0, 1, 0
1, 1, 0.993107, 0, 0, 0, 0.534719, 1.76252, 0, 2.23121, 2.50514, 2.6552, 0.734591, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.988738, 0, 0, 0.626931, 0, 1.68502, 0, 2.15361, 2.70939, 2.74839, 0.783801, 0, 0, 1.45374, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.98557, 0, 0, 1.2247, 0.713588, 1.65997, 0, 2.2616, 2.86083, 2.61466, 0, 0, 0, 2.22365, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.987301, 0, 0, 1.21059, 0.709757, 1.62389, 0, 2.15712, 2.74107, 2.4777, 0.63113, 0, 0, 1.99908, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.991368, 0, 0, 1.47286, 0.607869, 1.68651, 0.606984, 2.2395, 2.71615, 2.60515, 0, 0, 0.563791, 1.81428, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.991956, 0, 0, 1.03924, 0, 1.76406, 0, 2.30773, 2.8824, 2.522, 0, 0, 0, 1.13818, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.990842, 0, 0, 1.18322, 0.696448, 1.80104, 0, 2.33662, 2.92846, 2.4033, 0.551153, 0, 0, 1.13885, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.987563, 0, 0, 1.1676, 0.514702, 1.79296, 0, 2.25007, 3.06983, 2.35875, 0.508813, 0, 0, 3.08178, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.989307, 0, 0, 1.31225, 0.596806, 1.9301, 0, 2.3379, 3.08892, 2.46952, 0, 0, 0, 3.29158, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.987615, 0, 0, 0.967308, 0.55313, 2.04684, 0, 2.47644, 3.08686, 2.56637, 0, 0, 0, 2.88666, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.988176, 0, 0, 0.639722, 0, 2.0458, 0, 2.38551, 3.19454, 2.51879, 0, 0, 0, 3.66461, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.986981, 0, 0, 1.05766, 0, 1.97656, 0, 2.35911, 3.02959, 2.3609, 0, 0, 0, 3.80068, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.986377, 0, 0, 0.946483, 0, 1.99509, 0, 2.25249, 2.83112, 2.49009, 0, 0, 0, 3.55717, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.988206, 0, 0, 1.45619, 0, 1.98158, 0.79026, 2.05812, 3.03287, 2.09179, 0.588418, 0, 0.594728, 3.72762, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.985986, 0, 0, 1.2902, 0, 1.98452, 0.777737, 2.18238, 3.07315, 1.77368, 0.820228, 0, 0.712173, 2.85679, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.986032, 0, 0, 1.04309, 0, 2.03677, 0.780565, 2.08313, 3.17826, 1.92481, 0.952641, 0, 0, 3.84959, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.984402, 0, 0, 0.977221, 0, 1.95954, 1.1208, 1.99729, 3.00339, 1.51737, 0.714475, 0, 0, 3.58571, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.982107, 0, 0, 1.11941, 0, 2.11192, 0.782098, 2.0324, 3.25406, 1.8356, 0.86827, 0, 0, 4.05019, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.983467, 0, 0, 1.07503, 0, 2.14542, 0, 2.08837, 3.37065, 2.28593, 1.08179, 0, 0.500458, 3.25109, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.982737, 0, 0, 1.0631, 0, 2.04191, 0.630283, 2.00313, 3.27048, 1.85353, 0.79182, 0, 0.662016, 3.96252, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.981173, 0, 0, 0.998737, 0, 2.05262, 1.16521, 2.0333, 3.23168, 1.7634, 0, 0, 0.944192, 3.72109, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.981246, 0, 0, 0.773265, 0, 2.05594, 0.928933, 1.98315, 3.12814, 1.68124, 0, 0, 0.827552, 3.25114, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.97878, 0, 0, 0.983433, 0, 1.9487, 1.34088, 1.8904, 2.98763, 1.37136, 0, 0, 1.01615, 2.7893, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.97664, 0.699522, 0, 1.12169, 0, 1.92508, 1.36611, 1.85917, 2.84313, 1.61504, 0, 0, 1.43168, 3.34757, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.978064, 0.897115, 0, 1.02692, 0, 1.8725, 1.80652, 1.84091, 2.70832, 1.37455, 0, 0, 1.51569, 3.11488, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.978915, 0.66572, 0, 1.14605, 0, 1.81492, 1.18288, 1.7552, 2.72419, 1.23252, 0, 0, 1.08272, 2.24858, 0, 0, 1, 1, 0, 1, 0
1, 1, 0.980339, 0.636524, 0, 1.18676, 0, 1.85356, 1.44654, 1.86961, 2.61207, 1.35052, 0, 0, 0.919973, 2.78464, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.979897, 0.540675, 0, 1.33778, 0, 1.8722, 1.33722, 1.88663, 2.42999, 1.38271, 0, 0, 1.15659, 3.05096, 0, 0, 1, 0, 0, 1, 1
1, 1, 0.97921, 0, 0, 1.24072, 0, 1.77696, 1.35514, 1.73616, 2.3049, 1.4841, 0, 0, 1.30643, 3.02607, 0, 0, 1, 1, 0, 1, 0
1, 1, 0.97726, 0, 0, 1.02171, 0, 1.7099, 1.03507, 1.71431, 2.18925, 1.209, 0, 0, 1.16235, 3.23303, 0, 0, 1, 1, 0, 1, 0
1, 1, 0.978757, 0, 0, 1.15893, 0, 1.8599, 1.22134, 1.97942, 2.02762, 1.41826, 0.793119, 0, 1.17946, 3.30463, 0, 0, 1, 1, 0, 1, 0
1, 1, 0.981535, 0, 0, 1.36107, 0, 1.94873, 1.15096, 2.02789, 2.17601, 1.43266, 0.70538, 0, 0.875201, 4.61334, 0, 0, 1, 1, 0, 1, 0
1, 1, 0.983457, 0, 0, 1.72149, 0, 1.93356, 0.99418, 2.04755, 2.42262, 1.31365, 0.503339, 0, 0.736143, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.984302, 0, 0, 1.38996, 0, 1.96204, 0, 2.1762, 2.62752, 1.32439, 0, 0, 0, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.984757, 0, 0, 1.55308, 0, 2.01362, 0, 2.22917, 2.72103, 1.45946, 0, 0, 0.53385, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.984432, 0, 0, 1.53555, 0, 1.95819, 0, 2.19131, 2.70901, 1.52629, 0, 0, 0, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.985916, 0, 0, 1.40875, 0, 1.93732, 0, 2.18346, 2.53338, 1.43534, 0, 0, 0.677272, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.982261, 0, 0, 1.59187, 0, 1.74975, 0, 1.98212, 2.1552, 1.3917, 0.643448, 0, 0.73082, 3.45954, 0, 0, 1, 1, 0, 1, 0
1, 1, 0.983775, 0, 0, 1.35066, 0, 1.69536, 0, 1.99277, 2.04952, 1.37912, 0.620952, 0, 1.10264, 3.23573, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.984485, 0, 0, 1.46905, 0, 1.79074, 0, 2.13015, 2.20495, 1.49837, 0.674596, 0, 0.893294, 4.01232, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.985005, 0, 0, 1.49206, 0, 1.79966, 0, 2.12751, 2.26765, 1.55152, 0, 0, 0.778758, 3.6203, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.984987, 0, 0, 1.27048, 0, 1.65212, 0, 2.01448, 2.09107, 1.41593, 0.729655, 0, 0.969006, 3.11562, 0, 0, 1, 1, 0, 1, 0
1, 1, 0.985943, 0, 0, 1.2699, 0, 1.75883, 0, 2.13804, 2.00246, 1.48158, 0.587416, 0, 1.02989, 3.24619, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.986486, 0, 0, 1.45649, 0, 1.81776, 0, 2.24495, 2.38326, 1.54879, 0, 0, 0.849602, 4.35592, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.987924, 0, 0, 1.29315, 0, 1.88037, 0, 2.23099, 2.65633, 1.47516, 0, 0, 0.816805, 4.75258, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.987779, 0, 0, 1.27705, 0, 2.03406, 0, 2.45468, 2.82333, 1.82557, 0, 0, 0.856682, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.987903, 0, 0, 1.1552, 0, 2.04528, 0, 2.40849, 2.90743, 1.91336, 0, 0, 0.863087, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.988325, 0, 0, 1.11174, 0, 2.05974, 0, 2.37523, 2.99315, 1.89474, 0, 0, 0.91352, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.987778, 0, 0, 1.18423, 0, 2.15475, 0, 2.50233, 2.93928, 1.9041, 0, 0, 0.571693, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.988241, 0, 0, 1.34433, 0, 2.11527, 0, 2.37621, 2.82183, 1.76728, 0, 0, 0.737125, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.987774, 0, 0, 1.10652, 0, 2.21369, 0, 2.51583, 3.19176, 1.99909, 0, 0, 0.831341, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.982841, 0, 0, 1.30931, 0, 2.1156, 0, 2.47958, 3.31786, 2.07486, 0, 0, 0.960623, 5, 0.508079, 0, 1, 0, 0, 1, 0
1, 1, 0.980251, 0, 0, 1.58442, 0, 2.05873, 0.840915, 2.33929, 3.09118, 2.04011, 0, 0, 0.978647, 5, 0.610979, 0, 1, 0, 0, 1, 0
1, 1, 0.980677, 0, 0.642186, 1.78328, 0, 2.02774, 1.14686, 2.32538, 3.12884, 2.20534, 0.529437, 0, 0.82816, 5, 0.640609, 0, 1, 0, 0, 1, 0
1, 1, 0.980108, 0, 0.800874, 1.71242, 0, 2.0509, 0.858819, 2.33791, 3.1154, 1.93369, 0, 0, 0.948579, 5, 0.607761, 0, 1, 0, 0, 1, 0
1, 1, 0.979594, 0, 0.814612, 1.7442, 0, 2.0505, 0.687878, 2.33435, 3.20443, 1.95744, 0, 0, 0.953433, 5, 0.543068, 0, 1, 0, 0, 1, 0
1, 1, 0.979959, 0, 0.592706, 1.6037, 0, 2.06727, 0.987077, 2.37447, 3.10372, 1.91784, 0, 0, 0.927342, 5, 0.563151, 0, 1, 0, 0, 1, 0
1, 1, 0.982431, 0, 0.598936, 1.55866, 0, 2.09035, 0.76303, 2.3921, 3.07397, 1.78093, 0, 0, 1.05324, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.982925, 0, 0, 1.49977, 0, 2.10564, 0.686623, 2.31763, 3.09795, 1.91425, 0.519638, 0, 0.809189, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.984314, 0, 0, 1.59271, 0, 2.19287, 0, 2.37962, 3.07819, 1.95562, 0, 0, 0.815924, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.986354, 0, 0, 1.45918, 0, 2.23795, 0.503778, 2.43952, 3.31428, 1.90227, 0, 0, 0.92745, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.985929, 0, 0.51187, 1.54941, 0, 2.24845, 0.525208, 2.4351, 3.21398, 1.71494, 0, 0, 1.15922, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.985806, 0, 0, 1.47757, 0, 2.22569, 0.671863, 2.41448, 3.10503, 1.64287, 0.542665, 0, 0.881794, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.985728, 0, 0, 1.36371, 0, 2.24446, 0.800365, 2.46133, 3.01084, 1.71901, 0, 0, 0.962211, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.986381, 0, 0, 1.51429, 0, 2.21437, 0.641908, 2.40159, 3.09754, 1.70949, 0, 0, 1.0605, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.986041, 0, 0, 1.32271, 0, 2.20432, 0.756443, 2.41149, 3.04312, 1.70065, 0, 0, 0.938285, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.985949, 0, 0, 1.54112, 0, 2.26903, 0.800459, 2.51999, 3.08746, 1.76861, 0, 0, 1.01779, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.986342, 0, 0, 1.72579, 0.532545, 2.17412, 0.576922, 2.40473, 3.0181, 1.8695, 0, 0, 1.07236, 4.81264, 0, 1, 1, 0, 0, 1, 0
1, 1, 0.98584, 0, 0, 1.66343, 0, 2.19524, 0.863262, 2.42418, 3.09719, 1.93663, 0.500678, 0, 0.97469, 4.7633, 0, 1, 1, 0, 0, 1, 0
1, 1, 0.985657, 0, 0, 1.78029, 0, 2.21779, 0.725141, 2.51713, 2.96392, 1.90664, 0.572928, 0, 0.965398, 4.52205, 0, 1, 1, 0, 0, 1, 0
1, 1, 0.98628, 0, 0, 1.6981, 0, 2.1938, 0.641334, 2.42738, 2.90006, 1.85727, 0, 0, 0.948157, 4.68157, 0, 1, 1, 0, 0, 1, 0
1, 1, 0.986551, 0, 0, 1.61269, 0, 2.21705, 0, 2.5318, 2.93531, 2.00574, 0.530701, 0, 1.21136, 4.36712, 0, 1, 1, 0, 0, 1, 0
1, 1, 0.98632, 0, 0, 1.41873, 0, 2.19294, 0.679879, 2.53224, 2.85981, 1.88504, 0, 0, 0.913898, 3.98973, 0, 1, 1, 0, 0, 1, 0
1, 1, 0.987552, 0, 0, 1.43726, 0, 2.18287, 0, 2.40656, 3.01425, 1.85435, 0, 0, 0.893713, 4.36254, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.987472, 0, 0, 1.40036, 0.614745, 2.18835, 0.679628, 2.42511, 2.94855, 1.78938, 0, 0, 0.958609, 4.00803, 0, 1, 1, 0, 0, 1, 0
1, 1, 0.987244, 0, 0, 1.5391, 0, 2.20476, 0.751692, 2.5001, 2.95116, 1.94193, 0, 0, 0.993754, 3.49956, 0, 1, 1, 0, 0, 1, 0
1, 1, 0.987142, 0, 0, 1.62753, 0, 2.20727, 0, 2.43372, 2.88491, 1.91369, 0, 0, 1.04989, 3.816, 0, 1, 1, 0, 0, 1, 0
1, 1, 0.986399, 0, 0, 1.49501, 0, 2.15719, 0.90995, 2.35782, 2.76631, 1.92457, 0, 0, 0.917718, 3.47379, 0, 1, 1, 0, 0, 1, 0
1, 1, 0.986242, 0, 0, 1.52551, 0, 2.20159, 0.6528, 2.43633, 2.81126, 1.89531, 0.538295, 0, 1.19409, 3.92364, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.987601, 0, 0, 1.83143, 0, 2.15609, 0.787976, 2.37195, 2.86581, 1.88078, 0, 0, 1.04488, 4.1358, 0, 1, 1, 0, 0, 1, 0
1, 1, 0.987423, 0, 0, 1.44137, 0.551574, 2.18316, 0.581337, 2.37517, 2.89173, 1.78374, 0.544111, 0, 0.970344, 3.98686, 0, 1, 1, 0, 0, 1, 0
1, 1, 0.986948, 0, 0, 1.38269, 0, 2.15103, 0, 2.40601, 2.80478, 1.78782, 0, 0, 1.01867, 4.17791, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.987049, 0, 0, 1.45963, 0, 2.18854, 0.801666, 2.42772, 2.93718, 1.82835, 0, 0, 0.94448, 4.01079, 0, 1, 1, 0, 0, 1, 0
1, 1, 0.987779, 0, 0, 1.65079, 0, 2.21221, 1.04823, 2.46348, 2.84175, 1.83963, 0, 0, 0.754917, 4.21306, 0, 1, 1, 0, 0, 1, 0
1, 1, 0.987153, 0, 0, 1.56829, 0, 2.20324, 1.07787, 2.52719, 2.93704, 1.88973, 0, 0, 1.00323, 3.7309, 0, 1, 1, 0, 0, 1, 0
1, 1, 0.987829, 0, 0, 1.49958, 0.525302, 2.20015, 0.889951, 2.47994, 2.81531, 1.86183, 0, 0, 1.0884, 3.9526, 0, 1, 1, 0, 0, 1, 0
1, 1, 0.988313, 0, 0, 1.5375, 0.570826, 2.22219, 0.687108, 2.52548, 2.98424, 1.91749, 0, 0, 1.08567, 3.92711, 0, 1, 1, 0, 0, 1, 0
1, 1, 0.987989, 0, 0, 1.4531, 0.555907, 2.22357, 0.794603, 2.54692, 2.93574, 1.87226, 0, 0, 0.920799, 3.61208, 0, 1, 1, 0, 0, 1, 0
1, 1, 0.988421, 0, 0, 1.5336, 0, 2.21488, 0.811863, 2.47287, 3.00063, 1.82299, 0, 0, 0.944294, 4.17322, 0, 1, 1, 0, 0, 1, 0
1, 1, 0.989498, 0, 0, 1.4456, 0, 2.24667, 0.595582, 2.55067, 3.22502, 1.69471, 0, 0, 0.786132, 4.59865, 0, 1, 1, 0, 0, 1, 0
1, 1, 0.987169, 0, 0.516248, 1.19572, 0, 2.37647, 0, 2.83686, 3.50822, 1.89776, 0, 0, 0.700974, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.983937, 0, 0.550008, 1.75133, 0, 2.29755, 0.855518, 2.67768, 3.49535, 1.94772, 0, 0, 0.783654, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.98478, 0, 0.533586, 1.82192, 0, 2.21603, 1.07231, 2.60868, 3.32991, 2.03707, 0, 0, 0.969179, 5, 0.515049, 1, 1, 0, 0, 1, 0
1, 1, 0.985049, 0, 0, 1.80814, 0, 2.23388, 1.045, 2.64718, 3.14328, 1.88729, 0, 0, 0.752789, 5, 0, 1, 1, 0, 0, 1, 0
1, 1, 0.984779, 0, 0.549665, 1.729, 0, 2.19053, 0.856285, 2.59992, 3.09256, 1.93562, 0, 0, 0.910702, 5, 0, 0, 1, 0, 0, 1, 0
1, 1, 0.980687, 0, 0, 1.37403, 0, 2.14038, 0.964675, 2.56576, 2.62854, 1.81736, 0, 0, 1.09334, 3.49189, 0, 0, 1, 1, 0, 1, 0
1, 1, 0.981271, 0, 0, 1.43371, 0, 2.08866, 0.908897, 2.54393, 2.52598, 1.5725, 0.639492, 0, 0.894413, 3.23183, 0, 0, 1, 1, 0, 1, 0
